tag,target_R,n_on,reach_on_pct,n_off,reach_off_pct,random_walk_pct,edge_on_pp,delta_reach_pp,promoted
stacked_imbalance,0.5,1758,64.50511945392492,2725,65.46788990825688,66.66666666666667,-2.161547212741752,-0.9627704543319595,False
stacked_imbalance,1.0,1758,50.56882821387941,2725,49.944954128440365,50.0,0.5688282138794065,0.6238740854390414,False
stacked_imbalance,1.5,1758,41.24004550625711,2725,38.972477064220186,40.0,1.2400455062571112,2.267568442036925,False
stacked_imbalance,2.0,1758,34.98293515358362,2725,31.44954128440367,33.333333333333336,1.6496018202502825,3.5333938691799496,False
stacked_imbalance,2.5,1758,30.659840728100114,2725,26.128440366972477,28.571428571428573,2.0884121566715415,4.531400361127638,False
stacked_imbalance,3.0,1758,25.995449374288963,2725,21.98165137614679,25.0,0.9954493742889632,4.013797998142174,False
big_displacement,0.5,2180,64.31192660550458,2135,65.62060889929742,66.66666666666667,-2.35474006116209,-1.3086822937928417,False
big_displacement,1.0,2180,50.04587155963303,2135,50.2576112412178,50.0,0.045871559633027914,-0.21173968158477408,False
big_displacement,1.5,2180,40.5045871559633,2135,39.20374707259953,40.0,0.5045871559633,1.3008400833637666,False
big_displacement,2.0,2180,33.39449541284404,2135,32.27166276346604,33.333333333333336,0.06116207951070152,1.1228326493779974,False
big_displacement,2.5,2180,27.98165137614679,2135,27.868852459016395,28.571428571428573,-0.5897771952817834,0.11279891713039447,False
big_displacement,3.0,2180,22.98165137614679,2135,24.12177985948478,25.0,-2.0183486238532105,-1.140128483337989,False
wide_range,0.5,2069,65.3455775737071,2196,64.29872495446266,66.66666666666667,-1.3210890929595678,1.0468526192444472,False
wide_range,1.0,2069,50.26582890285162,2196,49.72677595628415,50.0,0.26582890285161653,0.539052946567466,False
wide_range,1.5,2069,39.922667955534074,2196,39.571948998178506,40.0,-0.07733204446592623,0.3507189573555678,False
wide_range,2.0,2069,32.81778637022716,2196,32.650273224043715,33.333333333333336,-0.5155469631061749,0.16751314618344537,False
wide_range,2.5,2069,27.597873368777186,2196,28.096539162112933,28.571428571428573,-0.9735552026513865,-0.49866579333574634,False
wide_range,3.0,2069,22.76462058965684,2196,24.13479052823315,25.0,-2.2353794103431603,-1.3701699385763106,False
